region name;region url
Москва;https://moskva.n1.ru/snyat/dolgosrochno/komnaty/region-Moskva/?limit=100
Московская;https://mo.n1.ru/snyat/dolgosrochno/komnaty/region-Moskovskaya-oblast/?limit=100
Белгородская;https://belgorod.n1.ru/snyat/dolgosrochno/komnaty/region-Belgorodskaya-oblast/?limit=100
Брянская;https://bryansk.n1.ru/snyat/dolgosrochno/komnaty/region-Bryanskaya-oblast/?limit=100
Владимирская;https://vladimir.n1.ru/snyat/dolgosrochno/komnaty/region-Vladimirskaya-oblast/?limit=100
Воронежская;https://voronezh.n1.ru/snyat/dolgosrochno/komnaty/region-Voronezhskaya-oblast/?limit=100
Ивановская;https://ivanovo.n1.ru/snyat/dolgosrochno/komnaty/region-Ivanovskaya-oblast/?limit=100
Калужская;https://kaluga.n1.ru/snyat/dolgosrochno/komnaty/region-Kaluzhskaya-oblast/?limit=100
Костромская;https://kostroma.n1.ru/snyat/dolgosrochno/komnaty/region-Kostromskaya-oblast/?limit=100
Курская;https://kursk.n1.ru/snyat/dolgosrochno/komnaty/region-Kurskaya-oblast/?limit=100
Липецкая;https://lipeck.n1.ru/snyat/dolgosrochno/komnaty/region-Lipeckaya-oblast/?limit=100
Орловская;https://orel.n1.ru/snyat/dolgosrochno/komnaty/region-Orlovskaya-oblast/?limit=100
Рязанская;https://ryazan.n1.ru/snyat/dolgosrochno/komnaty/region-Ryazanskaya-oblast/?limit=100
Смоленская;https://smolensk.n1.ru/snyat/dolgosrochno/komnaty/region-Smolenskaya-oblast/?limit=100
Тамбовская;https://tambov.n1.ru/snyat/dolgosrochno/komnaty/region-Tambovskaya-oblast/?limit=100
Тверская;https://tver.n1.ru/snyat/dolgosrochno/komnaty/region-Tverskaya-oblast/?limit=100
Тульская;https://tula.n1.ru/snyat/dolgosrochno/komnaty/region-Tulskaya-oblast/?limit=100
Ярославская;https://yaroslavl.n1.ru/snyat/dolgosrochno/komnaty/region-Yaroslavskaya-oblast/?limit=100
Санкт-Петербург;https://sankt-peterburg.n1.ru/snyat/dolgosrochno/komnaty/region-Sankt-Peterburg/?limit=100
Ленинградская;https://lo.n1.ru/snyat/dolgosrochno/komnaty/region-Leningradskaya-oblast/?limit=100
Архангельская;https://arhangelsk.n1.ru/snyat/dolgosrochno/komnaty/region-Arhangelskaya-oblast/?limit=100
Вологодская;https://vologda.n1.ru/snyat/dolgosrochno/komnaty/region-Vologodskaya-oblast/?limit=100
Калининградская;https://kaliningrad.n1.ru/snyat/dolgosrochno/komnaty/region-Kaliningradskaya-oblast/?limit=100
Карелия;https://petrozavodsk.n1.ru/snyat/dolgosrochno/komnaty/region-Respublika-Kareliya/?limit=100
Коми;https://syktyvkar.n1.ru/snyat/dolgosrochno/komnaty/region-Respublika-Komi/?limit=100
